Comment,Designator,Footprint,LCSC
OUT_R_VOL,J11,PinHeader_1x03_P2.54mm_Vertical,
MountingHole,H5,MountingHole_3.2mm_M3_Pad_noVia_tight,
MountingHole,H1,MountingHole_3.2mm_M3_Pad_noVia_tight,
IN_L,J3,Jack_6.35mm_Neutrik_NRJ6HF_Horizontal_no_screwhole,
IN_R_VOL,J9,PinHeader_1x03_P2.54mm_Vertical,
MountingHole,H2,MountingHole_3.2mm_M3_Pad_noVia_tight,
OUT_L,J5,Jack_6.35mm_Neutrik_NRJ6HF_Horizontal_no_screwhole,
IN_L_VOL,J8,PinHeader_1x03_P2.54mm_Vertical,
HP_OUT,J7,Jack_6.35mm_Neutrik_NRJ6HF_Horizontal_no_screwhole,
LINE_IN_OUT,J1,PinHeader_1x06_P2.54mm_Vertical,
OUT_L_VOL,J10,PinHeader_1x03_P2.54mm_Vertical,
MountingHole,H4,MountingHole_3.2mm_M3_Pad_noVia_tight,
IN_R,J4,Jack_6.35mm_Neutrik_NRJ6HF_Horizontal_no_screwhole,
MountingHole,H3,MountingHole_3.2mm_M3_Pad_noVia_tight,
L->R_NORMAL,JP1,SolderJumper-2_0603_Bridged_0_25mm,
HP_VOL,J12,PinHeader_2x03_P2.54mm_Vertical,
HP_OUT,J2,PinHeader_1x03_P2.54mm_Vertical,
OUT_R,J6,Jack_6.35mm_Neutrik_NRJ6HF_Horizontal_no_screwhole,
